Assembly Accession	Organism Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50
GCA_003274425.1	Saccharomyces cerevisiae	11555113	Chromosome	2019-01-30	NPUO01	41405	903508
GCA_003274465.1	Saccharomyces cerevisiae	11565739	Chromosome	2019-01-30	NPUP01	36183	899909
GCA_003274475.1	Saccharomyces cerevisiae	11541712	Chromosome	2019-01-30	NPUQ01	52342	887692
GCA_003274485.1	Saccharomyces cerevisiae	11644224	Chromosome	2019-01-30	NPUR01	69646	898569
GCA_003274495.1	Saccharomyces cerevisiae	11649630	Chromosome	2019-01-30	NPUS01	39481	833227
GCA_003274585.1	Saccharomyces cerevisiae	11600100	Chromosome	2019-01-30	NPUT01	49303	917947
GCA_003274595.1	Saccharomyces cerevisiae	12093575	Chromosome	2019-01-30	NPUV01	23224	909620
GCA_003274605.1	Saccharomyces cerevisiae	11753720	Chromosome	2019-01-30	NPUX01	47842	758216
GCA_003274615.1	Saccharomyces cerevisiae	11700991	Chromosome	2019-01-30	NPUY01	60233	895598
GCA_003274705.1	Saccharomyces cerevisiae	11783180	Chromosome	2019-01-14	NPVB01	8084	909310
GCA_003274715.1	Saccharomyces cerevisiae	11663478	Chromosome	2019-01-14	NPVD01	89224	891074
GCA_003274725.1	Saccharomyces cerevisiae	11716104	Chromosome	2019-01-14	NPVE01	59750	814616
GCA_003274735.1	Saccharomyces cerevisiae	11675307	Chromosome	2019-01-14	NPVF01	52781	750274
GCA_003274825.1	Saccharomyces cerevisiae	11735202	Chromosome	2019-01-14	NPVG01	64743	757387
GCA_003274845.1	Saccharomyces cerevisiae	11624764	Chromosome	2019-01-14	NPVL01	77826	781338
GCA_003274855.1	Saccharomyces cerevisiae	11699422	Chromosome	2019-01-14	NPVK01	70343	757154
GCA_003274865.1	Saccharomyces cerevisiae	11783729	Chromosome	2019-01-14	NPVM01	50051	906313
GCA_003274905.1	Saccharomyces cerevisiae	11827164	Chromosome	2019-01-14	NPVO01	34439	907525
GCA_003274975.1	Saccharomyces cerevisiae	11795212	Chromosome	2019-01-14	NPVQ01	43259	734885
GCA_003274985.1	Saccharomyces cerevisiae	11748790	Chromosome	2019-01-14	NPVS01	44252	756321
GCA_003274995.1	Saccharomyces cerevisiae	11713966	Chromosome	2019-01-14	NPVP01	52625	895118
GCA_003275005.1	Saccharomyces cerevisiae	11750459	Chromosome	2019-01-14	NPVR01	50003	760693
GCA_003275095.1	Saccharomyces cerevisiae	11767121	Chromosome	2019-01-14	NPVU01	47995	706254
GCA_003275105.1	Saccharomyces cerevisiae	11730032	Chromosome	2019-01-14	NPVV01	75861	841022
GCA_003275115.1	Saccharomyces cerevisiae	11760353	Chromosome	2019-01-14	NPVW01	61704	897559
GCA_003275125.1	Saccharomyces cerevisiae	11728040	Chromosome	2019-01-14	NPVY01	66427	896163
GCA_003275215.1	Saccharomyces cerevisiae	11784218	Chromosome	2019-01-14	NPVZ01	58144	900284
GCA_003275225.1	Saccharomyces cerevisiae	11757148	Chromosome	2019-01-14	NPWB01	57210	719068
GCA_003275235.1	Saccharomyces cerevisiae	11768509	Chromosome	2019-01-14	NPWA01	81121	897553
GCA_003275245.1	Saccharomyces cerevisiae	11724794	Chromosome	2019-01-14	NPWD01	66960	774580
GCA_003275335.1	Saccharomyces cerevisiae	11671064	Chromosome	2019-01-14	NPWG01	126641	785747
GCA_003275345.1	Saccharomyces cerevisiae	11740703	Chromosome	2019-01-14	NPWH01	45492	899354
GCA_003275365.1	Saccharomyces cerevisiae	11769048	Chromosome	2019-01-14	NPWI01	37115	779622
GCA_003275385.1	Saccharomyces cerevisiae	11765141	Chromosome	2019-01-14	NPWJ01	50638	756467
GCA_003275455.1	Saccharomyces cerevisiae	12062095	Chromosome	2019-01-14	NPWK01	57657	780665
GCA_003275465.1	Saccharomyces cerevisiae	11782924	Chromosome	2019-01-14	NPWL01	40466	903685
GCA_003275475.1	Saccharomyces cerevisiae	11722199	Chromosome	2019-01-14	NPWM01	58003	794066
GCA_003275505.1	Saccharomyces cerevisiae	11745254	Chromosome	2019-01-14	NPWN01	44044	853930
GCA_003275575.1	Saccharomyces cerevisiae	11734416	Chromosome	2019-01-14	NPWO01	55422	863726
GCA_003275585.1	Saccharomyces cerevisiae	11700591	Chromosome	2019-01-14	NPWQ01	63081	823884
GCA_003275605.1	Saccharomyces cerevisiae	11753655	Chromosome	2019-01-14	NPWR01	49814	747492
GCA_003275615.1	Saccharomyces cerevisiae	11808935	Chromosome	2019-01-14	NPWS01	61331	874262
GCA_003275685.1	Saccharomyces cerevisiae	11740816	Chromosome	2019-01-14	NPWT01	57450	904813
GCA_003275715.1	Saccharomyces cerevisiae	11698234	Chromosome	2019-01-14	NPWV01	106959	892954
GCA_003275745.1	Saccharomyces cerevisiae	11881595	Chromosome	2019-01-14	NPWX01	14355	896470
GCA_003275755.1	Saccharomyces cerevisiae	11752719	Chromosome	2019-01-14	NPWW01	77227	900713
GCA_003275785.1	Saccharomyces cerevisiae	11721782	Chromosome	2019-01-14	NPWY01	90574	898991
GCA_003275825.1	Saccharomyces cerevisiae	11711288	Chromosome	2019-01-14	NPWZ01	104126	906743
GCA_003275835.1	Saccharomyces cerevisiae	11695090	Chromosome	2019-01-08	NPXA01	94332	798680
GCA_003275875.1	Saccharomyces cerevisiae	11809338	Chromosome	2019-01-08	NPXB01	54370	892856
GCA_003275885.1	Saccharomyces cerevisiae	11728431	Chromosome	2019-01-08	NPXC01	85677	756850
GCA_003275955.1	Saccharomyces cerevisiae	11762881	Chromosome	2019-01-08	NPXE01	161925	899871
GCA_003275965.1	Saccharomyces cerevisiae	11717516	Chromosome	2019-01-08	NPXF01	43962	896521
GCA_003276005.1	Saccharomyces cerevisiae	11783306	Chromosome	2019-01-08	NPXJ01	59547	813318
GCA_003276015.1	Saccharomyces cerevisiae	11769833	Chromosome	2019-01-08	NPXL01	68569	841192
GCA_003276075.1	Saccharomyces cerevisiae	11753106	Chromosome	2019-01-08	NPXR01	114844	902766
GCA_003276085.1	Saccharomyces cerevisiae	11683700	Chromosome	2019-01-08	NPXQ01	713173	1353325
GCA_003276135.1	Saccharomyces cerevisiae	11626370	Chromosome	2019-01-30	NPUM01	41774	911213
GCA_003276145.1	Saccharomyces cerevisiae	11498980	Chromosome	2019-01-30	NPUN01	45112	888940
GCA_003276185.1	Saccharomyces cerevisiae	12058572	Chromosome	2019-01-30	NPUU01	9990	916953
GCA_003276205.1	Saccharomyces cerevisiae	11650143	Chromosome	2019-01-30	NPUW01	57632	843976
GCA_003276235.1	Saccharomyces cerevisiae	11871961	Chromosome	2019-01-30	NPUZ01	43430	781595
GCA_003276245.1	Saccharomyces cerevisiae	11952757	Chromosome	2019-01-14	NPVA01	39053	904662
GCA_003276295.1	Saccharomyces cerevisiae	11641680	Chromosome	2019-01-14	NPVC01	73823	823262
GCA_003276325.1	Saccharomyces cerevisiae	11628822	Chromosome	2019-01-14	NPVH01	96600	890072
GCA_003276365.1	Saccharomyces cerevisiae	11822123	Chromosome	2019-01-14	NPVI01	44960	815441
GCA_003276375.1	Saccharomyces cerevisiae	11771841	Chromosome	2019-01-14	NPVJ01	54086	762002
GCA_003276395.1	Saccharomyces cerevisiae	11731797	Chromosome	2019-01-14	NPVN01	49203	892883
GCA_003276405.1	Saccharomyces cerevisiae	11728272	Chromosome	2019-01-14	NPVT01	49986	899085
GCA_003276485.1	Saccharomyces cerevisiae	11723441	Chromosome	2019-01-14	NPVX01	56242	859800
GCA_003276495.1	Saccharomyces cerevisiae	11745573	Chromosome	2019-01-14	NPWC01	63396	755656
GCA_003276505.1	Saccharomyces cerevisiae	11810398	Chromosome	2019-01-14	NPWE01	50758	887511
GCA_003276515.1	Saccharomyces cerevisiae	11779887	Chromosome	2019-01-14	NPWP01	71649	826166
GCA_003276605.1	Saccharomyces cerevisiae	11737607	Chromosome	2019-01-14	NPWU01	52141	730063
GCA_003276615.1	Saccharomyces cerevisiae	11735392	Chromosome	2019-01-08	NPXD01	42475	904311
GCA_003276625.1	Saccharomyces cerevisiae	11736832	Chromosome	2019-01-08	NPXG01	62200	785021
GCA_003276635.1	Saccharomyces cerevisiae	11679416	Chromosome	2019-01-08	NPXH01	55104	876356
GCA_003276725.1	Saccharomyces cerevisiae	11708194	Chromosome	2019-01-08	NPXI01	113069	754953
GCA_003276735.1	Saccharomyces cerevisiae	11802891	Chromosome	2019-01-08	NPXK01	52470	904704
GCA_003276745.1	Saccharomyces cerevisiae	11768100	Chromosome	2019-01-08	NPXM01	41964	902890
GCA_003276755.1	Saccharomyces cerevisiae	11739806	Chromosome	2019-01-08	NPXN01	46809	850717
GCA_003276845.1	Saccharomyces cerevisiae	11749453	Chromosome	2019-01-08	NPXS01	50367	796011
GCA_003276855.1	Saccharomyces cerevisiae	11746233	Chromosome	2019-01-08	NPXO01	80026	896249
GCA_003276865.1	Saccharomyces cerevisiae	11758272	Chromosome	2019-01-08	NPXT01	73385	789298
GCA_003276875.1	Saccharomyces cerevisiae	11796711	Chromosome	2019-01-08	NPXW01	37944	927204
GCA_003276965.1	Saccharomyces cerevisiae	11716635	Chromosome	2019-01-08	NPXY01	65280	752171
GCA_003276975.1	Saccharomyces cerevisiae	11763458	Chromosome	2019-01-08	NPYA01	50788	805278
GCA_003276985.1	Saccharomyces cerevisiae	11811317	Chromosome	2019-01-08	NPYB01	43066	846881
GCA_003276995.1	Saccharomyces cerevisiae	11770018	Chromosome	2019-01-08	NPYD01	43080	760360
GCA_003277085.1	Saccharomyces cerevisiae	11742600	Chromosome	2019-01-08	NPYF01	51345	871543
GCA_003277095.1	Saccharomyces cerevisiae	11726352	Chromosome	2019-01-08	NPYG01	74225	911455
GCA_003277105.1	Saccharomyces cerevisiae	11674929	Chromosome	2018-11-28	NPYI01	58241	786459
GCA_003277115.1	Saccharomyces cerevisiae	11703754	Chromosome	2018-11-28	NPYJ01	741750	1257951
GCA_003277205.1	Saccharomyces cerevisiae	11687391	Chromosome	2018-11-28	NPYK01	52594	895981
GCA_003277235.1	Saccharomyces cerevisiae	11692203	Chromosome	2018-11-28	NPYN01	61696	825617
GCA_003277245.1	Saccharomyces cerevisiae	11672572	Chromosome	2018-11-28	NPYL01	46705	743362
GCA_003277255.1	Saccharomyces cerevisiae	10833809	Chromosome	2018-11-28	NPYO01	700837	1053118
GCA_003277295.1	Saccharomyces cerevisiae	11634721	Chromosome	2018-11-28	NPYP01	107691	791489
GCA_003277355.1	Saccharomyces cerevisiae	11662568	Chromosome	2018-11-28	NPYQ01	87046	790736
GCA_003277365.1	Saccharomyces cerevisiae	11658986	Chromosome	2018-11-28	NPYR01	72258	842472
GCA_003277375.1	Saccharomyces cerevisiae	11707991	Chromosome	2018-11-28	NPYS01	47756	808793
GCA_003277385.1	Saccharomyces cerevisiae	11682017	Chromosome	2018-11-28	NPYT01	58770	756105
GCA_003277475.1	Saccharomyces cerevisiae	11697442	Chromosome	2018-11-28	NPYU01	63060	900159
GCA_003277485.1	Saccharomyces cerevisiae	11681109	Chromosome	2018-11-28	NPYW01	73523	898761
GCA_003277495.1	Saccharomyces cerevisiae	11723401	Chromosome	2018-11-28	NPYX01	54674	901582
GCA_003277505.1	Saccharomyces cerevisiae	11751174	Chromosome	2018-11-28	NPYZ01	60531	902600
GCA_003277595.1	Saccharomyces cerevisiae	11828069	Chromosome	2019-01-08	NPXU01	32705	914820
GCA_003277615.1	Saccharomyces cerevisiae	11724712	Chromosome	2019-01-08	NPXX01	62762	803853
GCA_003277635.1	Saccharomyces cerevisiae	11744990	Chromosome	2019-01-08	NPXV01	74348	901870
GCA_003277645.1	Saccharomyces cerevisiae	11775309	Chromosome	2019-01-08	NPXZ01	66745	902713
GCA_003277715.1	Saccharomyces cerevisiae	11649080	Chromosome	2019-01-08	NPYC01	114889	994905
GCA_003277725.1	Saccharomyces cerevisiae	11731197	Chromosome	2018-11-28	NPYH01	58142	918101
GCA_003277735.1	Saccharomyces cerevisiae	11727127	Chromosome	2019-01-08	NPYE01	59352	880808
GCA_003277755.1	Saccharomyces cerevisiae	11692019	Chromosome	2018-11-28	NPYM01	60067	664516
GCA_003277815.1	Saccharomyces cerevisiae	11752302	Chromosome	2018-11-28	NPYV01	54092	898749
GCA_003277865.1	Saccharomyces cerevisiae	11724018	Chromosome	2018-11-28	NPYY01	60674	900886
GCA_003277875.1	Saccharomyces cerevisiae	11802807	Chromosome	2018-11-28	NPZA01	15763	891801
GCA_003326515.1	Saccharomyces cerevisiae	11669163	Chromosome	2018-11-02	NPTU01	16650	876814
GCA_003326525.1	Saccharomyces cerevisiae	11720179	Chromosome	2018-11-02	NPXP01	54473	974534
GCA_003326555.1	Saccharomyces cerevisiae	11671973	Chromosome	2018-11-02	NPWF01	56475	898516
GCA_003326565.1	Saccharomyces cerevisiae	11545931	Chromosome	2018-11-02	NPPO01	15411	811432
GCA_003569725.1	Saccharomyces cerevisiae	11800956	Scaffold	2018-08-29	BHFU01	165742	258733
GCA_003591695.1	Saccharomyces cerevisiae	11977611	Chromosome	2018-09-24	QQBK01	780476	801474
GCA_003709285.1	Saccharomyces cerevisiae	12020359	Complete Genome	2018-10-29		906490	906490
GCA_003719635.1	Saccharomyces cerevisiae	11875611	Chromosome	2018-11-10		319288	910252
GCA_003719665.1	Saccharomyces cerevisiae	11735918	Chromosome	2018-11-10		316332	901483
GCA_004014915.1	Saccharomyces cerevisiae	12802041	Chromosome	2019-01-14		934164	934164
GCA_004114265.1	Saccharomyces cerevisiae	11545732	Scaffold	2019-01-25	SDIA01	111128	130414
GCA_004138035.1	Saccharomyces cerevisiae	11626293	Contig	2019-02-05	RRUB01	32468	
GCA_004328465.1	Saccharomyces cerevisiae	12048612	Complete Genome	2019-03-06		923263	923263
GCA_004359125.1	Saccharomyces cerevisiae	12013960	Contig	2019-01-25	BIMU01	735189	
GCA_007556415.1	Saccharomyces cerevisiae	12820539	Contig	2019-07-26	SZYG01	594803	
GCA_009014655.1	Saccharomyces cerevisiae	12498706	Scaffold	2019-10-03	BKZN01	98362	102829
GCA_009663155.1	Saccharomyces cerevisiae	11673239	Chromosome	2019-11-15	WJAZ01	889659	889659
GCA_009663225.1	Saccharomyces cerevisiae	11140156	Chromosome	2019-11-15	WJAW01	719670	719670
GCA_009663235.1	Saccharomyces cerevisiae	11804575	Chromosome	2019-11-15	WJAX01	769883	769883
GCA_009663245.1	Saccharomyces cerevisiae	10524565	Chromosome	2019-11-15	WJAY01	585834	585834
GCA_009663275.1	Saccharomyces cerevisiae	12358282	Chromosome	2019-11-15	WJAU01	930141	930141
GCA_009663385.1	Saccharomyces cerevisiae	11994257	Chromosome	2019-11-15	WJAV01	937201	937201
GCA_009664425.1	Saccharomyces cerevisiae	11410559	Chromosome	2019-11-15	WJBA01	813188	813188
GCA_009667455.1	Saccharomyces cerevisiae	23461938	Scaffold	2019-11-18	VZZD01	2201	2271
GCA_009738405.1	Saccharomyces cerevisiae	12010352	Chromosome	2019-12-10		693698	921446
GCA_009805625.1	Saccharomyces cerevisiae	12079998	Contig	2019-12-27	VLHT01	808601	
GCA_009805665.1	Saccharomyces cerevisiae	11946317	Contig	2019-12-27	VLHV01	919793	
GCA_010356925.1	Saccharomyces cerevisiae	12269357	Chromosome	2020-02-10	JAAEAL01	806838	929143
GCA_010356935.1	Saccharomyces cerevisiae	12210417	Chromosome	2020-02-10	JAAEAK01	809060	912391
GCA_011316215.1	Saccharomyces cerevisiae	11931912	Chromosome	2020-03-17	MWMF01	814069	814069
GCA_011799815.1	Saccharomyces cerevisiae	11489437	Chromosome	2020-04-01	JAAGNM01	712623	712623
GCA_012275245.1	Saccharomyces cerevisiae	14455402	Contig	2020-04-13	WMJW01	585723	
GCA_013180045.1	Saccharomyces cerevisiae	12192083	Scaffold	2020-05-28	DUXI01	87489	93439
GCA_013181185.1	Saccharomyces cerevisiae	17705482	Scaffold	2020-05-28	DUWX01	47772	125708
GCA_013181225.1	Saccharomyces cerevisiae	21063849	Scaffold	2020-05-28	DUXA01	12549	12626
GCA_013181245.1	Saccharomyces cerevisiae	21895264	Scaffold	2020-05-28	DUXB01	6125	6225
GCA_013181305.1	Saccharomyces cerevisiae	14245905	Scaffold	2020-05-28	DUXR01	16327	16459
GCA_013183845.1	Saccharomyces cerevisiae	17229670	Scaffold	2020-05-28	DUYO01	7579	7751
GCA_013183865.1	Saccharomyces cerevisiae	22007894	Scaffold	2020-05-28	DUYQ01	20637	21308
GCA_013183875.1	Saccharomyces cerevisiae	21782436	Scaffold	2020-05-28	DUYP01	23519	23973
GCA_013183905.1	Saccharomyces cerevisiae	15260133	Scaffold	2020-05-28	DUYR01	74296	85910
GCA_014132375.1	Saccharomyces cerevisiae	11518743	Scaffold	2020-07-24	BLZP01	114682	892137
GCA_014132395.1	Saccharomyces cerevisiae	11492082	Scaffold	2020-07-24	BLZQ01	34008	883925
GCA_014133995.1	Saccharomyces cerevisiae	11756826	Chromosome	2020-08-10		799432	921687
GCA_014898825.1	Saccharomyces cerevisiae	12514037	Chromosome	2020-10-21	JADBMH01	825361	825361
GCA_014898935.1	Saccharomyces cerevisiae	12579131	Chromosome	2020-10-21	JADBMI01	807500	807500
GCA_014905575.1	Saccharomyces cerevisiae	11455750	Scaffold	2020-10-07	BNHH01	65550	75854
GCA_015251375.1	Saccharomyces cerevisiae	11335245	Scaffold	2020-11-06	JABVXK01	79405	166517
GCA_015251845.1	Saccharomyces cerevisiae	11482907	Scaffold	2020-11-06	JABVXL01	89561	141002
GCA_015251875.1	Saccharomyces cerevisiae	11609111	Scaffold	2020-11-06	JABVXN01	58138	111092
GCA_015251885.1	Saccharomyces cerevisiae	11571707	Scaffold	2020-11-06	JABVXM01	80615	137798
GCA_015251915.1	Saccharomyces cerevisiae	11798542	Scaffold	2020-11-06	JABVXO01	9035	25202
GCA_015251945.1	Saccharomyces cerevisiae	11469832	Scaffold	2020-11-06	JABVXP01	94810	153646
GCA_015363515.1	Saccharomyces cerevisiae	11945008	Chromosome	2020-11-12	JABUNP01	776439	776439
GCA_016858165.1	Saccharomyces cerevisiae	12776452	Chromosome	2021-02-10	JAEVFD01	746669	929257
GCA_016858175.1	Saccharomyces cerevisiae	12421736	Chromosome	2021-02-10	JAEVFC01	809066	915357
GCA_017165595.1	Saccharomyces cerevisiae	12667561	Contig	2021-03-04	JADWTB01	853012	
GCA_017165605.1	Saccharomyces cerevisiae	12581086	Contig	2021-03-04	JADWSZ01	594019	
GCA_017165635.1	Saccharomyces cerevisiae	12401950	Contig	2021-03-04	JADWTA01	928630	
GCA_017864775.1	Saccharomyces cerevisiae	11509299	Scaffold	2021-04-08	JAEDPX01	202917	209922
GCA_017864785.1	Saccharomyces cerevisiae	11509542	Scaffold	2021-04-08	JAEDPW01	202854	212775
GCA_017864795.1	Saccharomyces cerevisiae	11579629	Scaffold	2021-04-08	JAEDPY01	122108	131025
GCA_017864805.1	Saccharomyces cerevisiae	11515702	Scaffold	2021-04-08	JAEDPZ01	176621	191007
GCA_017864825.1	Saccharomyces cerevisiae	11507708	Scaffold	2021-04-08	JAEDQA01	199365	201302
GCA_017864915.1	Saccharomyces cerevisiae	11511576	Scaffold	2021-04-08	JAEDQC01	195310	200652
GCA_017864925.1	Saccharomyces cerevisiae	11524888	Scaffold	2021-04-08	JAEDQB01	155721	176273
GCA_017864945.1	Saccharomyces cerevisiae	11544242	Scaffold	2021-04-08	JAEDQD01	161363	167929
GCA_017864975.1	Saccharomyces cerevisiae	11515890	Scaffold	2021-04-08	JAEDQE01	174434	174434
GCA_017865125.1	Saccharomyces cerevisiae	11699045	Scaffold	2021-04-08	JAEDQF01	86484	105945
GCA_017865225.1	Saccharomyces cerevisiae	11524678	Scaffold	2021-04-08	JAEDQG01	176624	176624
GCA_017865245.1	Saccharomyces cerevisiae	11751057	Scaffold	2021-04-08	JAEDQI01	85676	93525
GCA_017865275.1	Saccharomyces cerevisiae	11603753	Scaffold	2021-04-08	JAEDQH01	105290	110407
GCA_017865285.1	Saccharomyces cerevisiae	11802904	Scaffold	2021-04-08	JAEDQJ01	77836	89274
GCA_017865375.1	Saccharomyces cerevisiae	11738089	Scaffold	2021-04-08	JAEDQK01	74071	79732
GCA_017865415.1	Saccharomyces cerevisiae	11737339	Scaffold	2021-04-08	JAEDQL01	108885	118832
GCA_017865475.1	Saccharomyces cerevisiae	11616839	Scaffold	2021-04-08	JAEDQM01	153609	162081
GCA_017865645.1	Saccharomyces cerevisiae	11678062	Scaffold	2021-04-08	JAEDQO01	87789	96271
GCA_017865655.1	Saccharomyces cerevisiae	11622453	Scaffold	2021-04-08	JAEDQN01	102707	104334
GCA_017865695.1	Saccharomyces cerevisiae	11759185	Scaffold	2021-04-08	JAEDQP01	88071	103623
GCA_017865715.1	Saccharomyces cerevisiae	11524743	Scaffold	2021-04-08	JAEDQR01	156766	159391
GCA_017865745.1	Saccharomyces cerevisiae	11568792	Scaffold	2021-04-08	JAEDQQ01	119469	125194
GCA_017865875.1	Saccharomyces cerevisiae	11514263	Scaffold	2021-04-08	JAEDQS01	194655	194655
GCA_017865995.1	Saccharomyces cerevisiae	11524061	Scaffold	2021-04-08	JAEDQT01	208153	216168
GCA_017866045.1	Saccharomyces cerevisiae	11810242	Scaffold	2021-04-08	JAEDQW01	69832	90831
GCA_017866055.1	Saccharomyces cerevisiae	11787857	Scaffold	2021-04-08	JAEDQU01	110392	115151
GCA_017866065.1	Saccharomyces cerevisiae	11798379	Scaffold	2021-04-08	JAEDQV01	95586	102754
GCA_017866075.1	Saccharomyces cerevisiae	11817843	Scaffold	2021-04-08	JAEDQX01	72806	90921
GCA_017866085.1	Saccharomyces cerevisiae	11676425	Scaffold	2021-04-08	JAEDQY01	134734	150135
GCA_017866135.1	Saccharomyces cerevisiae	11667140	Scaffold	2021-04-08	JAEDQZ01	96534	110645
GCA_017866155.1	Saccharomyces cerevisiae	11593674	Scaffold	2021-04-08	JAEDRA01	150137	150137
GCA_017866175.1	Saccharomyces cerevisiae	11761174	Scaffold	2021-04-08	JAEDRB01	87077	93521
GCA_017866185.1	Saccharomyces cerevisiae	11599772	Scaffold	2021-04-08	JAEDRC01	112531	131861
GCA_017866255.1	Saccharomyces cerevisiae	11599628	Scaffold	2021-04-08	JAEDRD01	176617	176617
GCA_017866275.1	Saccharomyces cerevisiae	11511355	Scaffold	2021-04-08	JAEDRE01	118692	121775
GCA_017866305.1	Saccharomyces cerevisiae	11466913	Scaffold	2021-04-08	JAEDRI01	191130	191130
GCA_017866315.1	Saccharomyces cerevisiae	11524150	Scaffold	2021-04-08	JAEDRG01	203841	205965
GCA_017866385.1	Saccharomyces cerevisiae	11474725	Scaffold	2021-04-08	JAEDRJ01	202541	209878
GCA_017866405.1	Saccharomyces cerevisiae	11507554	Scaffold	2021-04-08	JAEDRK01	253898	255659
GCA_017866455.1	Saccharomyces cerevisiae	11724296	Scaffold	2021-04-08	JAEDRH01	83702	97393
GCA_017866465.1	Saccharomyces cerevisiae	11543077	Scaffold	2021-04-08	JAEDRN01	160673	161640
GCA_017866475.1	Saccharomyces cerevisiae	11507851	Scaffold	2021-04-08	JAEDRL01	202415	202415
GCA_017866485.1	Saccharomyces cerevisiae	11625391	Scaffold	2021-04-08	JAEDRM01	106129	122106
GCA_017866495.1	Saccharomyces cerevisiae	11698848	Scaffold	2021-04-08	JAEDRF01	77783	94477
GCA_017866565.1	Saccharomyces cerevisiae	11479014	Scaffold	2021-04-08	JAEDRO01	113147	121671
GCA_017866575.1	Saccharomyces cerevisiae	11521173	Scaffold	2021-04-08	JAEDRP01	145138	145138
GCA_017866745.1	Saccharomyces cerevisiae	11504869	Scaffold	2021-04-08	JAEDRR01	164184	164184
GCA_017866755.1	Saccharomyces cerevisiae	11460907	Scaffold	2021-04-08	JAEDRQ01	159832	160950
GCA_017866845.1	Saccharomyces cerevisiae	11476127	Scaffold	2021-04-08	JAEDRS01	210856	217303
GCA_017866945.1	Saccharomyces cerevisiae	11425984	Scaffold	2021-04-08	JAEDRT01	211910	211910
GCA_017866955.1	Saccharomyces cerevisiae	11466622	Scaffold	2021-04-08	JAEDRU01	179095	179095
GCA_017866995.1	Saccharomyces cerevisiae	11525699	Scaffold	2021-04-08	JAEDRV01	205389	209073
GCA_017867005.1	Saccharomyces cerevisiae	11476351	Scaffold	2021-04-08	JAEDRW01	145384	149564
GCA_017867015.1	Saccharomyces cerevisiae	11473935	Scaffold	2021-04-08	JAEDRX01	194044	207260
GCA_017867205.1	Saccharomyces cerevisiae	11640595	Scaffold	2021-04-08	JAEDRZ01	75991	85657
GCA_017867255.1	Saccharomyces cerevisiae	11554549	Scaffold	2021-04-08	JAEDRY01	123594	123594
GCA_017867285.1	Saccharomyces cerevisiae	11610260	Scaffold	2021-04-08	JAEDSC01	115374	125927
GCA_017867295.1	Saccharomyces cerevisiae	11501985	Scaffold	2021-04-08	JAEDSB01	163463	163463
GCA_017867305.1	Saccharomyces cerevisiae	11656454	Scaffold	2021-04-08	JAEDSA01	103877	108865
GCA_017867515.1	Saccharomyces cerevisiae	11609673	Scaffold	2021-04-08	JAEDSD01	173839	176623
GCA_017867525.1	Saccharomyces cerevisiae	11603905	Scaffold	2021-04-08	JAEDSE01	128743	161200
GCA_017867555.1	Saccharomyces cerevisiae	11685642	Scaffold	2021-04-08	JAEDSG01	83034	90948
GCA_017867585.1	Saccharomyces cerevisiae	11923422	Scaffold	2021-04-08	JAEDSF01	64838	77429
GCA_017867595.1	Saccharomyces cerevisiae	11553083	Scaffold	2021-04-08	JAEDSH01	128600	140172
GCA_017867735.1	Saccharomyces cerevisiae	11471870	Scaffold	2021-04-08	JAEDSI01	157481	157481
GCA_017867755.1	Saccharomyces cerevisiae	11636434	Scaffold	2021-04-08	JAEDSJ01	125281	155298
GCA_017867835.1	Saccharomyces cerevisiae	11758483	Scaffold	2021-04-08	JAEDSK01	89306	102875
GCA_017867885.1	Saccharomyces cerevisiae	11650716	Scaffold	2021-04-08	JAEDSL01	95876	114858
GCA_017867915.1	Saccharomyces cerevisiae	11841062	Scaffold	2021-04-08	JAEDSM01	79524	96290
GCA_017867955.1	Saccharomyces cerevisiae	11473127	Scaffold	2021-04-08	JAEDSN01	159601	163745
GCA_017867995.1	Saccharomyces cerevisiae	11540432	Scaffold	2021-04-08	JAEDSO01	140320	149190
GCA_017868025.1	Saccharomyces cerevisiae	11831795	Scaffold	2021-04-08	JAEDSP01	56071	79934
GCA_017868065.1	Saccharomyces cerevisiae	11665588	Scaffold	2021-04-08	JAEDSQ01	89467	108729
GCA_017868075.1	Saccharomyces cerevisiae	11837045	Scaffold	2021-04-08	JAEDST01	52035	80022
GCA_017868145.1	Saccharomyces cerevisiae	12501016	Scaffold	2021-04-08	JAEDSR01	18758	44018
GCA_017868155.1	Saccharomyces cerevisiae	11822504	Scaffold	2021-04-08	JAEDSV01	52368	79745
GCA_017868165.1	Saccharomyces cerevisiae	11849990	Scaffold	2021-04-08	JAEDSW01	57191	81147
GCA_017868175.1	Saccharomyces cerevisiae	12360746	Scaffold	2021-04-08	JAEDSS01	21168	44305
GCA_017868185.1	Saccharomyces cerevisiae	11843138	Scaffold	2021-04-08	JAEDSU01	56958	80052
GCA_017868345.1	Saccharomyces cerevisiae	11830181	Scaffold	2021-04-08	JAEDSX01	55484	79996
GCA_017868355.1	Saccharomyces cerevisiae	11761306	Scaffold	2021-04-08	JAEDSY01	52368	77067
GCA_017868485.1	Saccharomyces cerevisiae	11448491	Scaffold	2021-04-08	JAEDSZ01	119735	124855
GCA_017868655.1	Saccharomyces cerevisiae	11430156	Scaffold	2021-04-08	JAEDTA01	125306	129383
